id,image,keypoints
27,1400-0.png,"[{""x"":32.24206349206349,""y"":76.19047619047619,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":40.27777777777777,""y"":76.98412698412697,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":41.96428571428571,""y"":34.52380952380952,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375},{""x"":32.638888888888886,""y"":63.49206349206349,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375},{""x"":40.67460317460317,""y"":64.48412698412697,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":375}]"
28,1400-375.png,"[{""x"":28.373015873015873,""y"":65.77812284334024,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":35.019841269841265,""y"":83.03140096618358,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":34.72222222222222,""y"":58.87681159420289,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":52.97619047619047,""y"":55.64182194616977,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":37.59920634920634,""y"":70.7384403036577,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345}]"
29,1500-0.png,"[{""x"":26.58730158730158,""y"":48.61111111111111,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":42.65873015873015,""y"":76.38888888888889,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":47.02380952380952,""y"":48.61111111111111,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375},{""x"":33.23412698412698,""y"":41.86507936507936,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375},{""x"":39.08730158730158,""y"":56.94444444444444,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":375}]"
30,1500-375.png,"[{""x"":27.678571428571423,""y"":59.739475500345065,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":40.27777777777777,""y"":95.97135955831608,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":39.48412698412697,""y"":64.0527950310559,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":50.99206349206349,""y"":76.9927536231884,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":43.3531746031746,""y"":62.54313319530711,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345}]"
31,1600-0.png,"[{""x"":62.59920634920634,""y"":41.86507936507936,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":70.93253968253967,""y"":35.71428571428571,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":58.82936507936507,""y"":72.81746031746032,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":50.49603174603175,""y"":58.33333333333333,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375}]"
32,1600-375.png,"[{""x"":29.067460317460313,""y"":75.26742581090407,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":45.83333333333333,""y"":98.55935127674258,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":41.07142857142856,""y"":73.97342995169082,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":58.33333333333333,""y"":79.14941338854382,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":35.51587301587301,""y"":70.95410628019324,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345}]"
33,1700-0.png,"[{""x"":71.72619047619047,""y"":49.0079365079365,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":57.638888888888886,""y"":70.83333333333333,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":59.12698412698412,""y"":49.0079365079365,""width"":0.1984126984126984,""keypointlabels"":[""MANO DX""],""original_width"":750,""original_height"":375},{""x"":65.97222222222221,""y"":43.84920634920634,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":50.595238095238095,""y"":33.13492063492063,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375}]"
34,1700-375.png,"[{""x"":31.944444444444443,""y"":96.18702553485163,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":40.27777777777777,""y"":96.83402346445824,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":38.591269841269835,""y"":84.97239475500345,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345},{""x"":31.150793650793645,""y"":79.14941338854382,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":40.27777777777777,""y"":49.17184265010352,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345}]"
35,1800-0.png,"[{""x"":71.92460317460316,""y"":35.317460317460316,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":58.63095238095237,""y"":70.43650793650794,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":63.591269841269835,""y"":36.9047619047619,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":46.92460317460317,""y"":46.82539682539682,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375}]"
36,1800-375.png,"[{""x"":28.07539851938096,""y"":71.60106449249687,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":43.74999999999999,""y"":98.77501725327812,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":54.86111111111111,""y"":77.42408557625949,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":41.86507936507936,""y"":70.30710835058662,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":35.019841269841265,""y"":66.85645272601795,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345}]"
37,1900-0.png,"[{""x"":68.3531746031746,""y"":56.15079365079364,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":51.19047619047619,""y"":81.15079365079364,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":61.11111111111111,""y"":52.97619047619047,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":43.94841269841269,""y"":54.960317460317455,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375}]"
38,1900-375.png,"[{""x"":71.72619047619047,""y"":58.87681159420289,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":51.98412698412697,""y"":92.30503795721187,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":61.60714285714285,""y"":61.24913733609386,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":47.61904761904761,""y"":80.44340924775707,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345}]"
39,2000-0.png,"[{""x"":28.869047619047617,""y"":93.84920634920634,""width"":0.1984126984126984,""keypointlabels"":[""CAVIGLIA SX""],""original_width"":750,""original_height"":375}]"
40,2000-375.png,"[{""x"":71.82539682539681,""y"":72.24810213940648,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":55.853174603174594,""y"":81.73740510697031,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":64.28571428571428,""y"":59.955141476880605,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":46.329365079365076,""y"":53.916494133885436,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345}]"
41,2100-0.png,"[{""x"":32.14285714285714,""y"":96.42857142857142,""width"":0.1984126984126984,""keypointlabels"":[""CAVIGLIA SX""],""original_width"":750,""original_height"":375},{""x"":62.69841269841269,""y"":97.6190476190476,""width"":0.1984126984126984,""keypointlabels"":[""CAVIGLIA DX""],""original_width"":750,""original_height"":375}]"
42,2100-375.png,"[{""x"":71.62698412698411,""y"":63.19013112491373,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":54.067460317460316,""y"":95.97135955831608,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":61.507931708314764,""y"":61.03347135955831,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":47.519841269841265,""y"":73.32643202208419,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345}]"
